Key,Type,Desc,English,Chinese (PRC),Chinese (Traditional),Japanese
entrance/new game,Text,,New Game,新游戏,新遊戲,
entrance/load game,Text,,Load Game,读取进度,讀取進度,
entrance/collection,Text,,Gallery,鉴赏模式,鑒賞模式,
entrance/collection[touch],Text,,Collection,鉴赏模式,鑒賞模式,
entrance/credit,Text,,Credits,制作团队,製作團隊,
方正像素12,Font,,方正像素12,方正像素12,方正像素12,
entrance/death view,Text,,death,死亡插图,死亡插圖,
entrance/hidden rooms,Text,,hidden,隐藏房间,隱藏房間,
deaths/death0,Text,,Zombie,僵尸咬死,僵屍咬死,
deaths/death1,Text,,Giant,巨婴玩死,巨嬰玩死,
deaths/death2,Text,,Worm,肉虫吸死,肉蟲吸死,
deaths/death3,Text,,Ghost,幽灵吊死,幽靈吊死,
deaths/death4,Text,,Squeeze,钉墙陷阱,釘牆陷阱,
deaths/death5,Text,,Spike,穿刺陷阱,穿刺陷阱,
deaths/death6,Text,,Poison,毒气毒死,毒氣毒死,
deaths/death7,Text,,Saw,电锯分尸,電鋸分屍,
deaths/death8,Text,,Murder,波波虐死,波波虐死,
deaths/death9,Text,,Big Worm,巨虫杀死,巨蟲殺死,
deaths/death10,Text,,Rabbit,兔子啃光,兔子啃光,
deaths/death11,Text,,Monster,无名咬死,無名咬死,
deaths/death12,Text,,Falled Rock,落石砸死,落石砸死,
deaths/death13,Text,,Fly Sword,飞刺扎死,飛刺紮死,
deaths/death14,Text,,Laser,激光射死,鐳射射死,
deaths/death15,Text,,Creeper,爬行者杀死,爬行者殺死,
entrance/leaders,Text,,Leaders,主制作,主製作,
entrance/artwork,Text,,Artworks,美术,美術,
entrance/thx,Text,,Thanks,特别鸣谢,特別鳴謝,
entrance/director,Text,,Director,制作人,製作人,
entrance/program,Text,,Program,程序员,程式師,
entrance/Music,Text,,Music,音乐音效,音樂音效,
hiddens/hidden0,Text,,Sperm Land,精液乐园,精液樂園,
hiddens/hidden1,Text,,Ten Members,工口十人,工口十人,
hiddens/hidden2,Text,,C's live,C菌直播,C菌直播,
hiddens/hidden3,Text,,Lazy Sun,孙渣好懒,孫渣好懶,
hiddens/hidden4,Text,,Lovely Stan,Stan女神,Stan女神,
hiddens/hidden5,Text,,Crocodile,鳄鱼同学,鱷魚同學,
hiddens/hidden6,Text,,Qian Dao,千岛酱,千島醬,
hiddens/hidden7,Text,,Space,史悲,史悲,
hiddens/hidden8,Text,,Light,支配者Light,支配者Light,
hiddens/hidden9,Text,,Chairman,会长小白,會長小白,
hiddens/hidden10,Text,,Art Room,美术室,美術室,
menus/item,Text,,Item,道具,道具,
menus/status,Text,,Status,状态,狀態,
menus/quit,Text,,Quit,退出,退出,
menus/status labels,Text,,"Play Time:
Save Times:
Use First-aid packets:
Kills:
Find Hidden Places:
","游戏时间：
保存次数：
使用医疗包次数：
杀死敌人数：
发现隐藏房间数：","遊戲時間：
保存次數：
使用醫療包次數：
殺死敵人數：
發現隱藏房間數：",
menus/use,Text,,Use,使用,使用,
menus/combine,Text,,Combine,组合,組合,
menus/hint,Text,,Hint,说明,說明,
menus/equip,Text,,Equip,装备,裝備,
menus/yes,Text,,Yes,是,是,
menus/no,Text,,No,否,否,
menus/replace pants?,Text,,Replace the pants?,是否覆盖之前的内裤？,是否覆蓋之前的內褲？,
menus/save data,Text,,"Play Time:
HP:","游戏时间：
HP：","遊戲時間：
HP：",
menus/take,Text,,Take,取出,取出,
menus/put in,Text,,Put in,存入,存入,
menus/save done,Text,,Save Done,更换成功,更換成功,
savepants/text0,Text,," Kio
【!?!!????!?】"," Kio
【！？！？？！？？！】"," Kio
【！？！？？！？？！】",
savepants/text1,Text,," Kio
【Is there a pair of  underpants!?】"," Kio
【怎么这里有一条内裤！？】"," Kio
【怎麼這裡有一條內褲！？】",
savepants/text2,Text,," Kio
【It seems to be quite  tidy ..........】"," Kio
【而且好像还蛮干净的。。。。。】"," Kio
【而且好像還蠻幹淨的。。。。。】",
decroration/flower pot,Text,," Kio
【A flower pot.】"," Kio
【普通的盆栽。】"," Kio
【普通的盆栽。】",
items/bullet,Text,,Pick up the pistol ammo?,有一盒手枪子弹，是否拾取？,有一盒手槍子彈，是否拾取？,
items/pick bullet,Text,,Get the pistol ammo,拾取了一盒子弹,拾取了一盒子彈,
items/blink,Text,,Pick up the key?,有一把铁钥匙，是否拾取？,有一把鐵鑰匙，是否拾取？,
items/pick blink,Text,,Get a key,拾取了钥匙,拾取了鑰匙,
menus/nothing happened,Text,,Nothing happened,没有反应,沒有反應,
menus/combine self,Text,,Can not combine with itself,不能和自己合体,不能和自己合體,
menus/inventory is full,Text,,Inventory is full,物品满了，不能拾取,物品滿了，不能拾取,
items/gear,Text,,Pick up the gear?,有一个齿轮，是否拾取？,有一個齒輪，是否拾取？,
items/pick gear,Text,,Get a gear,拾取了齿轮,拾取了齒輪,
items/first aid,Text,,Pick the first-aid packet?,有一个急救包，是否拾取？,有一個急救包，是否拾取？,
items/pick first aid,Text,,Get a first-aid packet,拾取了医疗包,拾取了醫療包,
items/key03,Text,,Pick up the key?,有一把钥匙，是否拾取？,有一把鑰匙，是否拾取？,
items/pick key03,Text,,Get a key,拾取了钥匙,拾取了鑰匙,
items/ox tank,Text,,Pick up the oxygen tank?,有一个氧气筒，是否拾取？,有一個氧氣筒，是否拾取？,
items/pick ox tank,Text,,Get an oxygen tank,拾取了氧气筒,拾取了氧氣筒,
items/Band-Aid,Text,,Pick up the band-aid?,有一块创可贴，是否拾取？,有一塊創可貼，是否拾取？,
items/pick band aid,Text,,Get a band-aid,拾取了一块创可贴,拾取了一塊創可貼,
